bucket,family,count,in_scan,watch_plus,targeted_plus,approved_live,avg_priority,avg_persistence
missing_selection,financial-services,6,6,1,1,1,5.6259,2.1815
missing_selection,semiconductors,9,9,3,0,0,4.7674,1.3685
missing_selection,uranium,1,1,0,0,0,4.3005,1.25
missing_selection,basic-materials,1,1,0,0,0,4.2811,1.4
missing_selection,technology,2,2,0,0,0,3.92,1.4
missing_selection,copper-miners,2,2,0,0,0,3.8411,1.3028
missing_selection,industrials,6,6,0,0,0,3.6613,1.3676
missing_selection,oil-gas,9,9,0,0,0,3.5902,1.3815
missing_selection,space-defense,6,6,0,0,0,3.5312,1.3398
missing_selection,cloud-software,5,5,0,0,0,3.52,1.4
missing_selection,communication-services,3,3,0,0,0,3.3817,1.3074
missing_selection,consumer-cyclical,1,1,0,0,0,3.2045,0.6333
missing_selection,healthcare,4,4,0,0,0,3.1899,1.157
missing_selection,industrial-compounders,4,4,0,0,0,3.1589,1.3537
missing_selection,unknown,17,0,0,0,0,0.0,0.9333
missing_universe,semiconductors,11,11,7,5,0,8.3782,3.0578
missing_universe,optical-networking,7,7,5,3,0,8.2695,2.7102
missing_universe,technology,9,9,4,2,1,7.8978,2.3961
missing_universe,industrials,10,10,2,2,0,5.938,2.184
missing_universe,space-defense,2,2,2,1,1,12.9709,3.3875
missing_universe,industrial-compounders,12,12,3,1,1,6.4119,2.196
missing_universe,communication-services,4,4,2,1,0,6.8033,3.2493
missing_universe,oil-gas,17,17,4,1,0,5.878,2.1666
missing_universe,energy,1,1,1,0,0,8.0142,1.2917
missing_universe,utilities,2,2,1,0,0,6.0431,2.5934
missing_universe,real-estate,2,2,0,0,0,5.167,1.915
missing_universe,consumer-cyclical,3,3,0,0,0,4.9962,1.5989
missing_universe,financial-services,10,10,0,0,0,4.8836,1.7443
missing_universe,basic-materials,5,5,0,0,0,4.7929,1.7002
missing_universe,gold-miners,2,2,0,0,0,4.4615,1.3736
missing_universe,healthcare,3,3,0,0,0,4.0725,1.705
missing_universe,cloud-software,2,2,0,0,0,3.7622,1.3042
missing_universe,unknown,2,0,0,0,0,0.0,1.1222
