ticker,promotion_stage,promotion_score,dynamic_status,recommendation,scan_algo_fit,profile_count,source_type_count,recent_score,scan_entry_heat_flag,full_delta_roi_pct,oos_delta_roi_pct,add_mean_delta_roi_2017_2025,add_mean_delta_sharpe_2017_2025,add_roi_wins_2017_2025,add_sharpe_wins_2017_2025
RIG,targeted_integration,2551.7293,watch,watch,high,1,3,1.0837205624962336,0.0,59004.44074412891,1723.286826590804,0.0,0.0,0.0,0.0
AAOI,targeted_integration,2078.5352,prime_watch,watch,high,3,3,2.986090784733093,0.0,47147.41139614223,1675.6432901239375,0.0,0.0,0.0,0.0
FIX,targeted_integration,1900.8606,prime_watch,watch,high,3,2,1.5664037917047833,0.0,43235.97982181666,1496.9037131262116,0.0,0.0,0.0,0.0
TER,targeted_integration,1880.2422,prime_watch,watch,high,3,2,1.5312503228644214,0.0,42730.96774317085,1496.9037131262116,0.0,0.0,0.0,0.0
LASR,targeted_integration,1766.1488,prime_watch,watch,high,2,1,3.2894418608508342,0.0,39943.01533784432,1451.8315977182858,0.0,0.0,0.0,0.0
CIEN,targeted_integration,1758.193,prime_watch,watch,high,3,1,2.948298720186512,0.0,39586.89704667709,1496.9037131262116,0.0,0.0,0.0,0.0
STX,targeted_integration,1677.2796,prime_watch,watch,high,3,3,1.6928566073516933,0.0,37415.6264134357,1587.2721676499834,0.0,0.0,0.0,0.0
POWL,targeted_integration,1583.2234,prime_watch,watch,high,3,2,1.2398194280162478,0.0,35602.96880796987,1388.767812870968,0.0,0.0,0.0,0.0
AMPX,targeted_integration,1485.7064,prime_watch,watch,high,3,2,2.067625068246938,0.0,33551.7254210773,1207.1983771339242,0.0,0.0,0.0,0.0
HL,targeted_integration,1305.4959,watch,watch,high,1,3,1.04800549314403,0.0,28171.513387759827,1605.6638906248745,0.0,0.0,0.0,0.0
