name,full_roi_pct,full_cagr_pct,full_maxdd_pct,full_sharpe,full_orders,oos_roi_pct,oos_cagr_pct,oos_maxdd_pct,oos_sharpe,oos_orders,candidate,removed,candidate_recent_score,candidate_scan_fit,candidate_scan_compat,candidate_hist_reco,removed_latest_rank,removed_latest_score,removed_days_top15,removed_realized_pnl_eur,removed_buy_count,full_delta_roi_pct,full_delta_sharpe,full_delta_maxdd_pct,oos_delta_roi_pct,oos_delta_sharpe,oos_delta_maxdd_pct,recommendation,reco_priority
AXTI_for_AXON,90730.78366698955,83.6479066503968,-43.93630311572697,1.7481440844271605,610,3195.6424816023264,129.7156750784871,-31.198874839758318,2.3713587762114137,226,AXTI,AXON,18.24197096694417,high,11.0,watch,135.0,-0.25645829911192336,0,0.0,0,90719.9304965458,,56.06369688427303,3193.9288660761063,,68.80112516024168,reject,0
AXTI_for_UEC,52927.99066027485,75.03650683206078,-46.246753470675074,1.667329665752823,612,2587.0240642799245,118.8225832016232,-28.811840947275357,2.3192947203350696,223,AXTI,UEC,18.24197096694417,high,11.0,watch,14.0,0.7443690689247277,0,0.0,0,52917.137489831104,,53.753246529324926,2585.3104487537043,,71.18815905272464,reject,0
AXTI_for_NET,68523.60992020737,79.11025067145592,-44.82367157144107,1.7003400152337425,621,2582.0260316619947,118.725664063922,-28.81087502934071,2.3161056101313093,226,AXTI,NET,18.24197096694417,high,11.0,watch,52.0,0.35307718212776823,0,0.0,0,68512.75674976362,,55.17632842855893,2580.3124161357746,,71.1891249706593,reject,0
AXTI_for_RACE,67295.62098233122,78.8218773977097,-44.95824784334974,1.7031786009516596,623,2582.0260316619947,118.725664063922,-28.81087502934071,2.3161056101313093,226,AXTI,RACE,18.24197096694417,high,11.0,watch,136.0,-0.26243815892652517,0,0.0,0,67284.76781188748,,55.04175215665026,2580.3124161357746,,71.1891249706593,reject,0
AXTI_for_ZS,65921.50889809374,78.49346016432604,-44.82367157144107,1.6993395067097412,628,2582.0260316619947,118.725664063922,-28.81087502934071,2.3161056101313093,226,AXTI,ZS,18.24197096694417,high,11.0,watch,148.0,-0.39663864425107065,0,0.0,0,65910.65572765,,55.17632842855893,2580.3124161357746,,71.1891249706593,reject,0
AXTI_for_WPM,55483.582970985015,75.77324833750112,-44.90188749149186,1.6716857451626663,624,2582.0260316619947,118.725664063922,-28.81087502934071,2.3161056101313093,226,AXTI,WPM,18.24197096694417,high,11.0,watch,65.0,0.2343491625081466,0,0.0,0,55472.72980054127,,55.09811250850814,2580.3124161357746,,71.1891249706593,reject,0
NDBI_for_AXON,76770.66754868484,80.9333855423632,-43.976722901042834,1.704845155042936,606,2563.0509844922935,118.35645232554523,-31.198874839758318,2.2225818221069757,225,NDBI,AXON,110.33461481711876,high,10.706,watch,135.0,-0.25645829911192336,0,0.0,0,76759.81437824109,,56.023277098957166,2561.3373689660734,,68.80112516024168,reject,0
FIEE_for_AXON,66089.83615944913,78.53402372739725,-44.0907392709086,1.6608564479958694,623,2297.7159926321683,112.97074535423319,-31.198874839758318,2.1652663659856457,235,FIEE,AXON,6.222137407311313,high,10.933333333333334,watch,135.0,-0.25645829911192336,0,0.0,0,66078.98298900538,,55.9092607290914,2296.002377105948,,68.80112516024168,reject,0
NDBI_for_UEC,59630.799298544196,76.9056147580625,-44.90368964358724,1.6675575739204904,609,2072.2525038763843,108.02473471129441,-28.811840947275357,2.1677640414111443,222,NDBI,UEC,110.33461481711876,high,10.706,watch,14.0,0.7443690689247277,0,0.0,0,59619.94612810045,,55.09631035641276,2070.538888350164,,71.18815905272464,reject,0
NDBI_for_RACE,57818.98608685503,76.42001331879254,-45.00996205311878,1.6639603813863388,619,2068.222019840523,107.93282720548434,-28.81087502934071,2.164951869314913,225,NDBI,RACE,110.33461481711876,high,10.706,watch,136.0,-0.26243815892652517,0,0.0,0,57808.13291641128,,54.99003794688122,2066.508404314303,,71.1891249706593,reject,0
NDBI_for_NET,56501.79689708706,76.05821742916321,-44.87632865458357,1.656575311001859,619,2068.222019840523,107.93282720548434,-28.81087502934071,2.164951869314913,225,NDBI,NET,110.33461481711876,high,10.706,watch,52.0,0.35307718212776823,0,0.0,0,56490.94372664331,,55.12367134541643,2066.508404314303,,71.1891249706593,reject,0
NDBI_for_ZS,55732.187857503275,75.84326178218576,-44.87632865458357,1.6602317013740282,622,2068.222019840523,107.93282720548434,-28.81087502934071,2.164951869314913,225,NDBI,ZS,110.33461481711876,high,10.706,watch,148.0,-0.39663864425107065,0,0.0,0,55721.33468705953,,55.12367134541643,2066.508404314303,,71.1891249706593,reject,0
NDBI_for_WPM,46654.77985547609,73.08091974639285,-44.951181588011224,1.6277803572381597,617,2068.222019840523,107.93282720548434,-28.81087502934071,2.164951869314913,225,NDBI,WPM,110.33461481711876,high,10.706,watch,65.0,0.2343491625081466,0,0.0,0,46643.92668503234,,55.048818411988776,2066.508404314303,,71.1891249706593,reject,0
FIEE_for_RACE,31233.13727401969,67.00816445451343,-44.70918939434261,1.6295740072504226,631,1852.4534665653355,102.81073695960981,-30.10795005598579,2.1067513734436254,235,FIEE,RACE,6.222137407311313,high,10.933333333333334,watch,136.0,-0.26243815892652517,0,0.0,0,31222.284103575937,,55.29081060565739,1850.7398510391154,,69.89204994401422,reject,0
FIEE_for_ZS,30549.864964952445,66.67989701045651,-44.52174197432581,1.6282024712619714,634,1852.4534665653355,102.81073695960981,-30.10795005598579,2.1067513734436254,235,FIEE,ZS,6.222137407311313,high,10.933333333333334,watch,148.0,-0.39663864425107065,0,0.0,0,30539.011794508693,,55.47825802567419,1850.7398510391154,,69.89204994401422,reject,0
FIEE_for_WPM,29135.60276140368,65.97870680002558,-44.58661134469488,1.6151317189208494,628,1852.4534665653355,102.81073695960981,-30.10795005598579,2.1067513734436254,235,FIEE,WPM,6.222137407311313,high,10.933333333333334,watch,65.0,0.2343491625081466,0,0.0,0,29124.749590959927,,55.41338865530512,1850.7398510391154,,69.89204994401422,reject,0
